http://www.fabogo.com/mumbai/city-bliss-day-spa-juhu?fabtrack=body+venue-image,http://d187hsnmfgmmaz.cloudfront.net/images/39515/medium/thumb-img-3967-1024.jpg,City Bliss Day Spa,Juhu,9022028009,,http://d187hsnmfgmmaz.cloudfront.net/images/42827/base/day%20spa%20menu%201.JPG| http://d187hsnmfgmmaz.cloudfront.net/images/42828/base/day%20spa%20menu%202.JPG| ,"SUN  11:00 am -
10:00 pm | MON  11:00 am -
10:00 pm | TUE  11:00 am -
10:00 pm | WED  11:00 am -
10:00 pm | THU  11:00 am -
10:00 pm | FRI  11:00 am -
10:00 pm | SAT  11:00 am -
10:00 pm | "
http://www.fabogo.com/mumbai/omana-salon-vashi?fabtrack=body+venue-image,http://d187hsnmfgmmaz.cloudfront.net/images/47743/medium/20160928_164906%20-%20EDITED.jpg,Omana Salon,Vashi,02227805050,,,"SUN  10:00 am -
09:00 pm | MON  10:00 am -
09:00 pm | TUE  10:00 am -
09:00 pm | WED  10:00 am -
09:00 pm | THU  10:00 am -
09:00 pm | FRI  10:00 am -
09:00 pm | SAT  10:00 am -
09:00 pm | "
http://www.fabogo.com/mumbai/hakim-s-aalim-carter-road-bandra-west?fabtrack=body+venue-image,http://d187hsnmfgmmaz.cloudfront.net/images/40745/medium/thumb-img-4549-1024.jpg,Hakim's Aalim,"Carter Road, Bandra West",02226460043,,,"SUN  11:00 am -
09:00 pm | MON  11:00 am -
09:00 pm | TUE  11:00 am -
09:00 pm | WED  11:00 am -
09:00 pm | THU  11:00 am -
09:00 pm | FRI  11:00 am -
09:00 pm | SAT  11:00 am -
09:00 pm | "
http://www.fabogo.com/mumbai/rio-salon-spa-mulund-west?fabtrack=body+venue-image,http://d187hsnmfgmmaz.cloudfront.net/images/46030/medium/0.jpg,Rio Salon & Spa,Mulund West,"9167382314, 9167382414",,http://d187hsnmfgmmaz.cloudfront.net/images/46035/base/A.jpg| http://d187hsnmfgmmaz.cloudfront.net/images/46036/base/B.jpg| http://d187hsnmfgmmaz.cloudfront.net/images/46037/base/C.jpg| http://d187hsnmfgmmaz.cloudfront.net/images/46038/base/D.jpg| ,"SUN  10:00 am -
09:00 pm | MON  10:00 am -
09:00 pm | TUE  10:00 am -
09:00 pm | WED  10:00 am -
09:00 pm | THU  10:00 am -
09:00 pm | FRI  10:00 am -
09:00 pm | SAT  10:00 am -
09:00 pm | "
http://www.fabogo.com/mumbai/tip-toe-the-nail-club-pali-hill-bandra-west?fabtrack=body+venue-image,http://d187hsnmfgmmaz.cloudfront.net/images/40457/medium/thumb-img-4484-1024.jpg,Tip & Toe The Nail Club,"Pali Hill, Bandra West",+918286316781,,http://d187hsnmfgmmaz.cloudfront.net/images/50452/base/tip%20and%20toe%20-%20EDITED.JPG| http://d187hsnmfgmmaz.cloudfront.net/images/47321/base/Tip%20%26%20Toe%20Brocher-page-007%20-%20EDITED.jpg| http://d187hsnmfgmmaz.cloudfront.net/images/47322/base/Tip%20%26%20Toe%20Brocher-page-009%20-%20EDITED.jpg| http://d187hsnmfgmmaz.cloudfront.net/images/47323/base/Tip%20%26%20Toe%20Brocher-page-011%20-%20EDITED.jpg| ,"SUN  11:00 am -
09:00 pm | MON  11:00 am -
09:00 pm | TUE  11:00 am -
09:00 pm | WED  11:00 am -
09:00 pm | THU  11:00 am -
09:00 pm | FRI  11:00 am -
09:00 pm | SAT  11:00 am -
09:00 pm | "
http://www.fabogo.com/mumbai/ubon-thai-spa-colaba?fabtrack=body+venue-image,http://d187hsnmfgmmaz.cloudfront.net/images/49696/medium/7876%20_%20ubon%20_2_%20_%20EDITED.jpg,Ubon Thai Spa,Colaba,+918286039289,,http://d187hsnmfgmmaz.cloudfront.net/images/45151/base/7.jpg| http://d187hsnmfgmmaz.cloudfront.net/images/45152/base/8.jpg| http://d187hsnmfgmmaz.cloudfront.net/images/45153/base/9.jpg| http://d187hsnmfgmmaz.cloudfront.net/images/45154/base/10.jpg| ,"SUN  11:30 am -
10:00 pm | MON  11:30 am -
10:00 pm | TUE  11:30 am -
10:00 pm | WED  11:30 am -
10:00 pm | THU  11:30 am -
10:00 pm | FRI  11:30 am -
10:00 pm | SAT  11:30 am -
10:00 pm | "
http://www.fabogo.com/mumbai/juice-salon-khar?fabtrack=body+venue-image,http://d187hsnmfgmmaz.cloudfront.net/images/35662/medium/1.jpg,Juice Salon,Khar,02226001726,,http://d187hsnmfgmmaz.cloudfront.net/images/35665/base/1.jpg| http://d187hsnmfgmmaz.cloudfront.net/images/35668/base/2.jpg| http://d187hsnmfgmmaz.cloudfront.net/images/35670/base/3.jpg| http://d187hsnmfgmmaz.cloudfront.net/images/35672/base/4.jpg| ,"SUN  10:00 am -
09:00 pm | MON  10:00 am -
09:00 pm | TUE  10:00 am -
09:00 pm | WED  10:00 am -
09:00 pm | THU  10:00 am -
09:00 pm | FRI  10:00 am -
09:00 pm | SAT  10:00 am -
09:00 pm | "
http://www.fabogo.com/mumbai/lemon-salon-mira-road?fabtrack=body+venue-image,http://d187hsnmfgmmaz.cloudfront.net/images/43716/medium/IMG_4259.JPG,Lemon Salon,Mira Road,"02228107788, 02228107799",,,"SUN  10:00 am -
09:00 pm | MON  10:00 am -
09:00 pm | TUE  10:00 am -
09:00 pm | WED  10:00 am -
09:00 pm | THU  10:00 am -
09:00 pm | FRI  10:00 am -
09:00 pm | SAT  10:00 am -
09:00 pm | "
http://www.fabogo.com/mumbai/esthetique-spa-salon-colaba?fabtrack=body+venue-image,http://d187hsnmfgmmaz.cloudfront.net/images/36566/medium/1.jpg,Esthetique Spa & Salon,Colaba,"9869787775, 02222180877",,http://d187hsnmfgmmaz.cloudfront.net/images/36568/base/1.jpg| http://d187hsnmfgmmaz.cloudfront.net/images/36569/base/2.jpg| http://d187hsnmfgmmaz.cloudfront.net/images/36570/base/3.jpg| http://d187hsnmfgmmaz.cloudfront.net/images/36571/base/4.jpg| ,"SUN  10:00 am -
08:30 pm | MON  10:00 am -
08:30 pm | TUE  10:00 am -
08:30 pm | WED  10:00 am -
08:30 pm | THU  10:00 am -
08:30 pm | FRI  10:00 am -
08:30 pm | SAT  10:00 am -
08:30 pm | "
http://www.fabogo.com/mumbai/essensuals-salon-by-toni-guy-vile-parle-east?fabtrack=body+venue-image,http://d187hsnmfgmmaz.cloudfront.net/images/45235/medium/2.JPG,Essensuals Salon By Toni & Guy ,Vile Parle East,"7506799033, 02226631046",,http://d187hsnmfgmmaz.cloudfront.net/images/44828/base/1.jpg| http://d187hsnmfgmmaz.cloudfront.net/images/44829/base/2.jpg| http://d187hsnmfgmmaz.cloudfront.net/images/44830/base/3.jpg| http://d187hsnmfgmmaz.cloudfront.net/images/44831/base/4.jpg| ,"SUN  10:30 am -
09:30 pm | MON  10:30 am -
09:30 pm | TUE  10:30 am -
09:30 pm | WED  10:30 am -
09:30 pm | THU  10:30 am -
09:30 pm | FRI  10:30 am -
09:30 pm | SAT  10:30 am -
09:30 pm | "
